0.2645,0.0066,0.6907,0.5192
0.8904,0.3814,0.0889,0.3586
0.1518,0.7038,0.9752,0.3969
0.2643,0.8114,0.7352,0.6712
0.1878,0.4841,0.4145,0.7455
0.0309,0.0434,0.3820,0.5743
0.4107,0.0569,0.6416,0.6620
0.9203,0.4327,0.4665,0.6935
0.6385,0.2365,0.3301,0.1231
0.7546,0.5136,0.3679,0.1329
0.4655,0.9504,0.5740,0.1539
0.4004,0.5599,0.3175,0.5390
0.5600,0.2099,0.7936,0.1079
0.7259,0.1508,0.7589,0.3842
0.8642,0.8542,0.4280,0.8627
0.3484,0.0017,0.5704,0.4869
0.5077,0.7845,0.6407,0.4026
0.0555,0.6438,0.5045,0.5410
0.5148,0.0291,0.6247,0.4973
0.9637,0.1157,0.2207,0.1557
0.7143,0.9597,0.3842,0.1611
0.3673,0.4451,0.7483,0.7701
0.3018,0.5409,0.3240,0.8312
0.3746,0.2015,0.2461,0.0547
0.5116,0.7489,0.0199,0.2046
0.3180,0.3874,0.1511,0.9557
0.8137,0.3257,0.1797,0.9571
0.6314,0.2420,0.4619,0.9859
0.6335,0.9780,0.3340,0.3763
0.4926,0.3489,0.7077,0.3603
0.3531,0.2494,0.9246,0.5093
0.9751,0.5946,0.8761,0.0936
0.8403,0.4569,0.6102,0.2787
0.9890,0.9552,0.7727,0.6942
0.0738,0.8069,0.3150,0.4489
0.1244,0.4937,0.5240,0.5152
0.2138,0.7457,0.1117,0.0232
0.4447,0.6853,0.1594,0.3751
0.8885,0.0549,0.6040,0.1682
0.2082,0.5955,0.9272,0.3227
0.7067,0.5316,0.6837,0.1778
0.8170,0.6269,0.5619,0.9154
0.7448,0.2109,0.4756,0.3345
0.6787,0.5828,0.6328,0.9055
0.1688,0.1259,0.4677,0.3355
0.4610,0.5316,0.5864,0.1647
0.3398,0.2139,0.0002,0.9229
0.5947,0.4045,0.9269,0.1825
0.1545,0.2116,0.4315,0.6978
0.5082,0.3797,0.4933,0.6059
0.7345,0.0620,0.9826,0.2288
0.7279,0.3208,0.0694,0.0122
0.7558,0.5067,0.9712,0.1030
0.7203,0.2878,0.9378,0.6987
0.1622,0.3407,0.1036,0.4277
0.8893,0.7220,0.9212,0.0136
0.6296,0.7124,0.4183,0.3706
0.2941,0.8147,0.2367,0.6558
0.7916,0.5284,0.0768,0.8005
0.0851,0.8113,0.2642,0.2644
0.4709,0.5614,0.4543,0.6597
0.5867,0.4280,0.8504,0.6399
0.4915,0.6712,0.7968,0.0038
0.3549,0.2298,0.0077,0.9128
0.6132,0.4057,0.4910,0.7362
0.0988,0.7213,0.8074,0.4399
0.7263,0.4171,0.9320,0.1302
0.9615,0.7964,0.2844,0.9606
0.7351,0.8969,0.1298,0.5828
0.8679,0.9282,0.2793,0.9229
0.4513,0.6745,0.5393,0.6524
0.1963,0.7367,0.1189,0.9270
0.4419,0.2749,0.6319,0.7502
0.9454,0.7628,0.2245,0.5399
0.5343,0.9320,0.8316,0.5820
0.0239,0.1531,0.2534,0.0443
0.2525,0.7872,0.3514,0.1929
0.5742,0.5445,0.5683,0.4729
0.6239,0.4864,0.0811,0.1944
0.4859,0.3278,0.5747,0.6951
0.8582,0.9916,0.8304,0.8280
0.0454,0.4142,0.7157,0.5394
0.5439,0.2133,0.9506,0.8193
0.4523,0.9464,0.8809,0.0156
0.0160,0.4032,0.6893,0.3486
0.8648,0.0529,0.8160,0.2334
0.6694,0.8553,0.9578,0.2175
0.4502,0.9881,0.8466,0.1599
0.2151,0.6321,0.3038,0.7150
0.4437,0.0975,0.5339,0.1514
0.3120,0.5134,0.5485,0.7941
0.1117,0.9621,0.9886,0.2537
0.3421,0.8942,0.9405,0.0143
0.6132,0.1307,0.6158,0.0679
0.7320,0.9880,0.4957,0.6808
0.3132,0.1879,0.0058,0.2175
0.3125,0.6791,0.1177,0.7694
0.1792,0.9356,0.8503,0.1981
0.0210,0.5051,0.1527,0.7564
0.7655,0.3625,0.1418,0.2662
0.3901,0.4602,0.3403,0.9346
0.9851,0.3422,0.2666,0.4929
0.6433,0.2290,0.6797,0.9601
0.1955,0.4842,0.2719,0.2061
0.6424,0.9977,0.7533,0.6275
0.9089,0.3600,0.0007,0.1502
0.0460,0.5025,0.6035,0.6256
0.4136,0.5179,0.8633,0.5791
0.2607,0.3676,0.2213,0.9543
0.5919,0.7552,0.8958,0.9859
0.0730,0.6424,0.7470,0.7551
0.9453,0.4782,0.9446,0.8838
0.5842,0.8440,0.2179,0.7364
0.9892,0.2954,0.4739,0.9999
0.8910,0.5661,0.4157,0.0666
0.7447,0.2020,0.7558,0.8812
0.6793,0.0948,0.8432,0.2566
0.3453,0.8413,0.5390,0.5284
0.5384,0.6716,0.1487,0.4161
0.7444,0.2069,0.1752,0.2062
0.8908,0.9697,0.2579,0.6751
0.9178,0.1443,0.5129,0.3791
0.5383,0.7526,0.3919,0.4576
0.2000,0.7705,0.2034,0.2346
0.3199,0.7921,0.9538,0.5319
0.3310,0.7003,0.0286,0.9224
0.8430,0.1315,0.1636,0.4367
0.4757,0.6414,0.1973,0.4063
0.7553,0.0748,0.5169,0.2072
0.8021,0.3078,0.5229,0.6790
0.0155,0.2169,0.2696,0.9323
0.1115,0.1444,0.9758,0.1846
0.3522,0.5455,0.3979,0.0769
0.6677,0.2120,0.4442,0.5218
0.6451,0.3722,0.1966,0.3855
0.8141,0.0841,0.1734,0.6875
0.7333,0.7652,0.7873,0.7103
0.3692,0.0608,0.6557,0.3673
0.8072,0.6303,0.7936,0.6268
0.9234,0.2530,0.1270,0.5248
0.0659,0.5479,0.2608,0.9587
0.4164,0.5832,0.3160,0.9856
0.3768,0.1446,0.4089,0.5802
0.1819,0.0443,0.0732,0.4899
0.6875,0.0195,0.7328,0.0280
0.4457,0.0105,0.4526,0.3786
0.4880,0.8611,0.9388,0.6581
0.4683,0.8403,0.6618,0.7933
0.8708,0.5906,0.8893,0.3293
0.5050,0.7679,0.5934,0.4266
0.9117,0.5128,0.4603,0.5380
0.3496,0.2365,0.0476,0.0774
0.5984,0.9789,0.5513,0.0671
